######################################
Exploring the best parameters for the kernel mandel
using default
######################################
cpu,th,tw,threads,schedule,schedule_n,time
full_system,64,64,6,static,3,4128.080
cortex,64,128,1,static,3,12709.466
cortex,64,128,2,static,3,7304.453
cortex,64,128,3,static,3,6582.433
cortex,64,128,4,static,3,5131.329
denver,64,128,1,static,3,9714.324
denver,64,128,2,static,3,5589.313
full_system,64,128,6,static,3,4606.900
cortex,64,256,1,static,3,12693.901
cortex,64,256,2,static,3,7696.350
cortex,64,256,3,static,3,5893.902
cortex,64,256,4,static,3,5300.031
denver,64,256,1,static,3,9695.350
denver,64,256,2,static,3,5803.686
full_system,64,256,6,static,3,3494.525
cortex,64,512,1,static,3,12698.368
cortex,64,512,2,static,3,7284.853
cortex,64,512,3,static,3,5868.422
cortex,64,512,4,static,3,4545.196
denver,64,512,1,static,3,9570.844
denver,64,512,2,static,3,5527.307
full_system,64,512,6,static,3,4051.333
cortex,64,1024,1,static,3,12693.578
cortex,64,1024,2,static,3,7004.679
cortex,64,1024,3,static,3,5153.555
cortex,64,1024,4,static,3,4359.961
denver,64,1024,1,static,3,9566.388
denver,64,1024,2,static,3,5267.427
full_system,64,1024,6,static,3,3555.063
cortex,128,64,1,static,3,12656.738
cortex,128,64,2,static,3,6711.508
cortex,128,64,3,static,3,5350.590
cortex,128,64,4,static,3,4332.016
denver,128,64,1,static,3,9556.940
denver,128,64,2,static,3,5044.524
full_system,128,64,6,static,3,3445.805
cortex,128,128,1,static,3,12640.150
cortex,128,128,2,static,3,6943.220
cortex,128,128,3,static,3,4964.634
cortex,128,128,4,static,3,4154.925
denver,128,128,1,static,3,9523.480
denver,128,128,2,static,3,5266.630
full_system,128,128,6,static,3,2965.859
cortex,128,256,1,static,3,12646.823
cortex,128,256,2,static,3,6642.302
cortex,128,256,3,static,3,5332.176
cortex,128,256,4,static,3,4090.419
denver,128,256,1,static,3,9587.395
denver,128,256,2,static,3,5033.387
full_system,128,256,6,static,3,3731.822
cortex,128,512,1,static,3,12739.695
cortex,128,512,2,static,3,7045.842
cortex,128,512,3,static,3,5508.735
cortex,128,512,4,static,3,5043.677
denver,128,512,1,static,3,9612.148
denver,128,512,2,static,3,5337.807
full_system,128,512,6,static,3,4422.834
cortex,128,1024,1,static,3,12619.895
cortex,128,1024,2,static,3,7843.363
cortex,128,1024,3,static,3,6005.329
cortex,128,1024,4,static,3,6075.772
denver,128,1024,1,static,3,9452.148
denver,128,1024,2,static,3,5841.658
full_system,128,1024,6,static,3,4765.020
cortex,256,64,1,static,3,12661.609
cortex,256,64,2,static,3,7746.011
cortex,256,64,3,static,3,5527.744
cortex,256,64,4,static,3,4948.643
denver,256,64,1,static,3,9552.175
denver,256,64,2,static,3,5813.651
full_system,256,64,6,static,3,4663.915
cortex,256,128,1,static,3,12620.639
cortex,256,128,2,static,3,7615.812
cortex,256,128,3,static,3,7004.887
cortex,256,128,4,static,3,5751.081
denver,256,128,1,static,3,9599.430
denver,256,128,2,static,3,5761.922
full_system,256,128,6,static,3,5067.715
cortex,256,256,1,static,3,12628.687
cortex,256,256,2,static,3,8435.064
cortex,256,256,3,static,3,6655.500
cortex,256,256,4,static,3,6257.414
denver,256,256,1,static,3,9561.691
denver,256,256,2,static,3,6367.956
full_system,256,256,6,static,3,5501.629
cortex,256,512,1,static,3,12671.009
cortex,256,512,2,static,3,7956.463
cortex,256,512,3,static,3,6018.198
cortex,256,512,4,static,3,6030.746
denver,256,512,1,static,3,9478.435
denver,256,512,2,static,3,5992.300
full_system,256,512,6,static,3,4777.186
cortex,256,1024,1,static,3,12706.287
cortex,256,1024,2,static,3,6903.952
cortex,256,1024,3,static,3,6894.946
cortex,256,1024,4,static,3,6997.207
denver,256,1024,1,static,3,9603.477
denver,256,1024,2,static,3,5236.979
cortex,512,64,1,static,3,12627.417
cortex,512,64,2,static,3,6920.518
cortex,512,64,3,static,3,4912.572
cortex,512,64,4,static,3,4026.357
denver,512,64,1,static,3,9573.797
denver,512,64,2,static,3,5216.523
full_system,512,64,6,static,3,3245.406
cortex,512,128,1,static,3,12650.717
cortex,512,128,2,static,3,6514.053
cortex,512,128,3,static,3,5383.774
cortex,512,128,4,static,3,4709.162
denver,512,128,1,static,3,9533.204
denver,512,128,2,static,3,4928.581
full_system,512,128,6,static,3,4433.680
cortex,512,256,1,static,3,12662.133
cortex,512,256,2,static,3,6558.123
cortex,512,256,3,static,3,6145.924
cortex,512,256,4,static,3,6143.609
denver,512,256,1,static,3,9519.939
denver,512,256,2,static,3,4988.507
full_system,512,256,6,static,3,5076.290
cortex,512,512,1,static,3,12730.597
cortex,512,512,2,static,3,8646.383
cortex,512,512,3,static,3,8633.263
cortex,512,512,4,static,3,8599.275
denver,512,512,1,static,3,9574.472
denver,512,512,2,static,3,6531.630
cortex,512,1024,1,static,3,12660.711
cortex,512,1024,2,static,3,12672.612
denver,512,1024,1,static,3,9575.262
denver,512,1024,2,static,3,9493.906
cortex,1024,64,1,static,3,12641.811
cortex,1024,64,2,static,3,8324.843
cortex,1024,64,3,static,3,5383.552
cortex,1024,64,4,static,3,5159.985
denver,1024,64,1,static,3,9631.971
denver,1024,64,2,static,3,6360.356
full_system,1024,64,6,static,3,4146.194
cortex,1024,128,1,static,3,12668.131
cortex,1024,128,2,static,3,7316.920
cortex,1024,128,3,static,3,7318.179
cortex,1024,128,4,static,3,7306.608
denver,1024,128,1,static,3,9679.300
denver,1024,128,2,static,3,5605.173
full_system,1024,128,6,static,3,6032.939
cortex,1024,256,1,static,3,12642.997
cortex,1024,256,2,static,3,10989.010
cortex,1024,256,3,static,3,10976.448
cortex,1024,256,4,static,3,10961.832
denver,1024,256,1,static,3,9685.817
denver,1024,256,2,static,3,8413.500
cortex,1024,512,1,static,3,12661.782
cortex,1024,512,2,static,3,12655.637
denver,1024,512,1,static,3,9651.904
denver,1024,512,2,static,3,9677.483
cortex,64,64,1,dynamic,1,12615.158
cortex,64,64,2,dynamic,1,6325.815
cortex,64,64,3,dynamic,1,4515.160
cortex,64,64,4,dynamic,1,3594.336
denver,64,64,1,dynamic,1,9688.782
denver,64,64,2,dynamic,1,4847.497
full_system,64,64,6,dynamic,1,2820.350
cortex,64,128,1,dynamic,1,12630.146
cortex,64,128,2,dynamic,1,6415.885
cortex,64,128,3,dynamic,1,4708.118
cortex,64,128,4,dynamic,1,3876.396
denver,64,128,1,dynamic,1,9654.983
denver,64,128,2,dynamic,1,4917.987
full_system,64,128,6,dynamic,1,3265.225
cortex,64,256,1,dynamic,1,12720.850
cortex,64,256,2,dynamic,1,6530.002
cortex,64,256,3,dynamic,1,4790.981
cortex,64,256,4,dynamic,1,3931.977
denver,64,256,1,dynamic,1,9716.689
denver,64,256,2,dynamic,1,5004.023
full_system,64,256,6,dynamic,1,3222.191
cortex,64,512,1,dynamic,1,12630.771
cortex,64,512,2,dynamic,1,6565.334
cortex,64,512,3,dynamic,1,4803.973
cortex,64,512,4,dynamic,1,4029.272
denver,64,512,1,dynamic,1,9667.043
denver,64,512,2,dynamic,1,5017.724
full_system,64,512,6,dynamic,1,3131.774
cortex,64,1024,1,dynamic,1,12736.996
cortex,64,1024,2,dynamic,1,7357.840
cortex,64,1024,3,dynamic,1,5873.049
cortex,64,1024,4,dynamic,1,5054.547
denver,64,1024,1,dynamic,1,9667.298
denver,64,1024,2,dynamic,1,5643.936
full_system,64,1024,6,dynamic,1,4045.360
cortex,128,64,1,dynamic,1,12644.748
cortex,128,64,2,dynamic,1,6359.407
cortex,128,64,3,dynamic,1,4578.565
cortex,128,64,4,dynamic,1,3676.963
denver,128,64,1,dynamic,1,9645.232
denver,128,64,2,dynamic,1,4870.568
full_system,128,64,6,dynamic,1,3140.867
cortex,128,128,1,dynamic,1,12635.266
cortex,128,128,2,dynamic,1,6415.414
cortex,128,128,3,dynamic,1,4841.029
cortex,128,128,4,dynamic,1,4078.818
denver,128,128,1,dynamic,1,9678.735
denver,128,128,2,dynamic,1,4920.503
full_system,128,128,6,dynamic,1,3331.473
cortex,128,256,1,dynamic,1,12628.746
cortex,128,256,2,dynamic,1,6568.716
cortex,128,256,3,dynamic,1,5093.559
cortex,128,256,4,dynamic,1,4344.948
denver,128,256,1,dynamic,1,9696.078
denver,128,256,2,dynamic,1,5022.657
full_system,128,256,6,dynamic,1,3640.110
cortex,128,512,1,dynamic,1,12628.758
cortex,128,512,2,dynamic,1,6548.358
cortex,128,512,3,dynamic,1,5042.909
cortex,128,512,4,dynamic,1,4280.386
denver,128,512,1,dynamic,1,9709.852
denver,128,512,2,dynamic,1,5053.166
full_system,128,512,6,dynamic,1,3540.030
cortex,128,1024,1,dynamic,1,12629.650
cortex,128,1024,2,dynamic,1,8036.130
cortex,128,1024,3,dynamic,1,6224.680
cortex,128,1024,4,dynamic,1,5345.470
denver,128,1024,1,dynamic,1,9683.816
denver,128,1024,2,dynamic,1,6150.092
full_system,128,1024,6,dynamic,1,4770.412
cortex,256,64,1,dynamic,1,12675.024
