######################################
Exploring the best parameters for the kernel blur2
using urrot2_neon_div8_u16
######################################
cpu,th,tw,threads,schedule,schedule_n,time
cortex,64,128,3,static,2,1808.452
cortex,64,128,4,static,2,2311.665
denver,64,128,1,static,2,4209.988
denver,64,128,2,static,2,2714.847
full_system,64,128,6,static,2,1356.370
cortex,64,256,1,static,2,2452.633
cortex,64,256,2,static,2,1979.461
cortex,64,256,3,static,2,974.779
cortex,64,256,4,static,2,1037.055
denver,64,256,1,static,2,2061.453
denver,64,256,2,static,2,1606.800
full_system,64,256,6,static,2,882.280
cortex,64,512,1,static,2,1264.144
cortex,64,512,2,static,2,677.315
cortex,64,512,3,static,2,508.151
cortex,64,512,4,static,2,389.384
denver,64,512,1,static,2,919.317
denver,64,512,2,static,2,534.910
full_system,64,512,6,static,2,482.235
cortex,64,1024,1,static,2,653.866
cortex,64,1024,2,static,2,352.952
cortex,64,1024,3,static,2,258.908
cortex,64,1024,4,static,2,183.633
denver,64,1024,1,static,2,420.379
denver,64,1024,2,static,2,198.052
full_system,64,1024,6,static,2,194.730
cortex,128,64,1,static,2,10434.111
cortex,128,64,2,static,2,5959.943
cortex,128,64,3,static,2,3587.014
cortex,128,64,4,static,2,3648.693
denver,128,64,1,static,2,8619.839
denver,128,64,2,static,2,4951.185
full_system,128,64,6,static,2,2300.993
cortex,128,128,1,static,2,4982.045
cortex,128,128,2,static,2,3299.561
cortex,128,128,3,static,2,1888.894
cortex,128,128,4,static,2,2242.803
denver,128,128,1,static,2,4211.075
denver,128,128,2,static,2,2765.968
full_system,128,128,6,static,2,1345.684
cortex,128,256,1,static,2,2473.684
cortex,128,256,2,static,2,1920.843
cortex,128,256,3,static,2,1046.017
cortex,128,256,4,static,2,1039.237
denver,128,256,1,static,2,2012.273
denver,128,256,2,static,2,1669.362
full_system,128,256,6,static,2,983.627
cortex,128,512,1,static,2,1247.882
cortex,128,512,2,static,2,664.914
cortex,128,512,3,static,2,541.338
cortex,128,512,4,static,2,371.010
denver,128,512,1,static,2,898.600
denver,128,512,2,static,2,488.415
full_system,128,512,6,static,2,617.181
cortex,128,1024,1,static,2,556.505
cortex,128,1024,2,static,2,331.037
cortex,128,1024,3,static,2,282.324
cortex,128,1024,4,static,2,176.006
denver,128,1024,1,static,2,362.166
denver,128,1024,2,static,2,184.148
full_system,128,1024,6,static,2,245.266
cortex,256,64,1,static,2,11586.663
cortex,256,64,2,static,2,6142.413
cortex,256,64,3,static,2,4008.948
cortex,256,64,4,static,2,3758.326
